STATION,Lat,Lon
Takoma,-77.01817899,38.97608633
Friendship Heights,-77.08499811,38.95949167
Fort Totten,-77.00220536,38.95185457
Tenleytown-AU,-77.07958963,38.94885923
Van Ness-UDC,-77.06298848,38.94327308
Georgia Ave-Petworth,-77.02346319,38.93744242
Cleveland Park,-77.05804482,38.93477068
Brookland-CUA,-76.99453656,38.93321879
Columbia Heights,-77.03255441,38.92784576
Woodley Park,-77.05242032,38.92509293
Rhode Island Ave,-76.99593919,38.92106748
U St,-77.02749818,38.91701019
Shaw-Howard U,-77.02191399,38.91348466
Dupont Circle,-77.04341665,38.90960585
Deanwood,-76.93525904,38.90818629
NoMa-Gallaudet U,-77.00302273,38.907024
Mt Vernon Sq,-77.02191667,38.9064446
Farragut North,-77.03970312,38.90320973
McPherson Sq,-77.03363646,38.90134058
Farragut West,-77.04069771,38.90132068
Foggy Bottom-GWU,-77.05028003,38.90070579
Minnesota Avenue,-76.94674999,38.89919901
Gallery Place,-77.02191767,38.8983246
Metro Center,-77.02808028,38.89832226
Union Station,-77.00741657,38.89777383
Judiciary Square,-77.01664124,38.8960981
Archives,-77.02191667,38.89367301
Federal Triangle,-77.02813428,38.89318866
Smithsonian,-77.02806852,38.88802649
Federal Center SW,-77.0158705,38.88508014
Capitol South,-77.0051417,38.88507028
L'Enfant Plaza,-77.02191077,38.88484551
Eastern Market,-76.9960034,38.88463005
Potomac Ave,-76.98549759,38.88127106
Navy Yard-Ballpark,-77.00508793,38.87648887
Waterfront,-77.01750749,38.87646965
Anacostia,-76.99537301,38.8629709
Congress Heights,-76.9885142,38.84566548
Naylor Rd,-76.9566,38.8511
Dunn Loring,-77.2283,38.8833
Ronald Reagan Washington National Airport,-77.0439,38.852985
Landover,-76.891233,38.933532
Wiehle-Reston East,-77.339921,38.947703
Archives,-77.0222,38.8939
Spring Hill,-77.24194,38.92917
Shady Grove,-77.1624805,39.1167745
Greenbelt,-76.911011,39.0109
West Hyattsville,-76.969522,38.955031
Loudoun Gateway,-77.46102932,38.99250597
East Falls Church,-77.15692254,38.8862077
Bethesda,-77.09407182,38.98433764703366,
Wheaton,-77.05094994,39.04152159073775,
Twinbrook,-77.12086027,39.06273659768016,
Stadium-Armory, -76.97708353142194,38.88855250183547
Southern Ave, -76.97554254436798,38.84076700464428
Pentagon City, -77.05984060203454,38.86286502517007
Innovation Center, -77.41524026316858,38.96075500009651
Addison Rd, -76.89553325258612,38.88693110152132
Rockville, -77.14620517189132,39.08441297431364
McLean, -77.21034997374878,38.92454436671381
NoMa-Gallaudet U, -77.00312065128607,38.907287277658746
Arlington Cemetary, -77.06359868724239,38.884845666363454
Grosvenor-Strathmore, -77.10383838908875,39.02916991607454
Capitol Heights, -76.91328660443764,38.88937713521584
Greensboro, -77.22621450111069,38.92620799974773
Minnesota Avenue, -76.94676937374963,38.899288216707994
Hyattsville Crossing, -76.9563833890911,38.96556946565725
Virginia Sq-GMU, -77.10327313724251,38.883004048111225
Suitland, -76.93241426025956,38.84445282011628
College Park-U of Md, -76.9281992819495,38.97867971241441
Georgia Ave-Petworth, -77.02407236115944,38.93734217314181
Crystal City, -77.05150373327471,38.85813128114776
Court House, -77.05150373327471,38.85813128114776
Silver Spring, -77.03104067004308,38.99382859634839
Herndon, -77.38513894067216,38.952837487638
Glenmont, -77.05366522956412,39.062005738476074
Rosslyn, -77.07204237560144,38.89688737176784
King St-Old Town, -77.06079493909685,38.80627046031973
Downtown Largo, -76.84454765470262,38.90065345634314
West Falls Church, -77.18886716396075,38.90084664139575
Cheverly, -76.9161891007334,38.9162867832299
Van Dorn St, -77.12909242772189,38.799408632260075
Huntington, -77.07603348570541,38.7921994927673
Tysons, -77.22191753750641,38.92084105182049
U St, -77.02600561269489,38.916804214431096
Gallery Place, -77.02166769166051,38.8975082335097
Benning Rd, -76.93711470867169,38.89046462864253
Medical Center, -77.09775322956634,38.99921777924646
Vienna, -77.27241688089158,38.87781213909825
Branch Ave, -76.91171265893935,38.82711347029184
Franconia-Springfield, -77.16791690073879,38.76670673909339
Ashburn, -77.49172990575421,39.00528250602016
Morgan Blvd, -76.86838424052699,38.89375910304583
Reston Town Center, -77.36019631897595,38.95283743368763
Pentagon, -77.05370086132658,38.8693405172652
Ballston-MU, -77.11117223935958,38.882152506748504
Braddock Rd, -77.05329813962734,38.8141175922806
Washington Dulles International Airport, -77.44791758168495,38.95586127322839
Woodley Park, -77.05238740258474,38.92464417299412
New Carrollton, -76.87190418909164,38.94811241158839
Judiciary Square, -77.0174020848307,38.8973734981719
Clarendon, -77.09534467809084,38.88727689821695
Eisenhower Ave, -77.07097661237808,38.8004375851715
Shaw-Howard U, -77.021792614491,38.914525040709826
North Bethesda, -77.09391088353559,38.984345986750014
Forest Glen, -77.04290872956568,39.01564496454203
Mt Vernon Sq, -77.02220332956979,38.9055494438386
