Station,Line
Shady Grove,Red
Rockville,Red
Twinbrook,Red
North Bethesda,Red
Grosvenor-Strathmore,Red
Medical Center,Red
Bethesda,Red
Friendship Heights,Red
Tenleytown-AU,Red
Van Ness-UDC,Red
Cleveland Park,Red
Woodley Park,Red
Dupont Circle,Red
Farragut North,Red
Metro Center,Red
Gallery Place,Red
Judiciary Square,Red
Union Station,Red
NoMa-Gallaudet U,Red
Rhode Island Ave,Red
Brookland-CUA,Red
Fort Totten,Red
Takoma,Red
Silver Spring,Red
Forest Glen,Red
Wheaton,Red
Glenmont,Red
Greenbelt,Green
College Park-U of Md,Green
Hyattsville Crossing,Green
West Hyattsville,Green
Fort Totten,Green
Georgia Ave-Petworth,Green
Columbia Heights,Green
U St,Green
Shaw-Howard U,Green
Mt Vernon Sq,Green
Gallery Place,Green
Archives,Green
L'Enfant Plaza,Green
Waterfront,Green
Navy Yard-Ballpark,Green
Anacostia,Green
Congress Heights,Green
Southern Ave,Green
Naylor Rd,Green
Suitland,Green
Branch Ave,Green
Greenbelt,Yellow
College Park-U of Md,Yellow
Hyattsville Crossing,Yellow
West Hyattsville,Yellow
Fort Totten,Yellow
Georgia Ave-Petworth,Yellow
Columbia Heights,Yellow
U St,Yellow
Shaw-Howard U,Yellow
Mt Vernon Sq,Yellow
Gallery Place,Yellow
Archives,Yellow
L'Enfant Plaza,Yellow
Pentagon,Yellow
Pentagon City,Yellow
Crystal City,Yellow
Ronald Reagan Washington National Airport,Yellow
Braddock Rd,Yellow
King St-Old Town,Yellow
Eisenhower Ave,Yellow
Huntington,Yellow
Franconia-Springfield,Blue
Van Dorn St,Blue
King St-Old Town,Blue
Braddock Rd,Blue
Ronald Reagan Washington National Airport,Blue
Crystal City,Blue
Pentagon City,Blue
Pentagon,Blue
Arlington Cemetary,Blue
Foggy Bottom-GWU,Blue
Farragut West,Blue
McPherson Sq,Blue
Metro Center,Blue
Federal Triangle,Blue
Smithsonian,Blue
L'Enfant Plaza,Blue
Federal Center SW,Blue
Capitol South,Blue
Eastern Market,Blue
Potomac Ave,Blue
Stadium-Armory,Blue
Benning Rd,Blue
Capitol Heights,Blue
Addison Rd,Blue
Morgan Blvd,Blue
Downtown Largo,Blue
Vienna,Orange
Dunn Loring,Orange
West Falls Church,Orange
East Falls Church,Orange
Ballston-MU,Orange
Virginia Sq-GMU,Orange
Clarendon,Orange
Court House,Orange
Rosslyn,Orange
Foggy Bottom-GWU,Orange
Farragut West,Orange
McPherson Sq,Orange
Metro Center,Orange
Federal Triangle,Orange
Smithsonian,Orange
L'Enfant Plaza,Orange
Federal Center SW,Orange
Capitol South,Orange
Eastern Market,Orange
Potomac Ave,Orange
Stadium-Armory,Orange
Minnesota Avenue,Orange
Deanwood,Orange
Cheverly,Orange
Landover,Orange
New Carrollton,Orange
Ashburn,Silver
Loudoun Gateway,Silver
Washington Dulles International Airport,Silver
Innovation Center,Silver
Herndon,Silver
Reston Town Center,Silver
Wiehle-Reston East,Silver
Spring Hill,Silver
Greensboro,Silver
Tysons,Silver
McLean,Silver
East Falls Church,Silver
Ballston-MU,Silver
Virginia Sq-GMU,Silver
Clarendon,Silver
Court House,Silver
Rosslyn,Silver
Foggy Bottom-GWU,Silver
Farragut West,Silver
McPherson Sq,Silver
Metro Center,Silver
Federal Triangle,Silver
Smithsonian,Silver
L'Enfant Plaza,Silver
Federal Center SW,Silver
Capitol South,Silver
Eastern Market,Silver
Potomac Ave,Silver
Stadium-Armory,Silver
Benning Rd,Silver
Capitol Heights,Silver
Addison Rd,Silver
Morgan Blvd,Silver
Downtown Largo,Silver
